好,好 不错 不赖
认真,认真 仔细 周到 贴心 细致 严谨 周全 谦逊 耐心 心细
热情,热情 热忱 热诚 热烈
温柔,温柔 温和 友好 友善 和气 谦和 随和 和善 和蔼 亲和 开朗 亲切
幽默,幽默 有趣 逗人 风趣
小,小
大,大
朴素,简陋 朴素 陈旧 简陋
好看,好看 漂亮 甜美 妩媚 性感 可爱 清纯 美观 迷人 端庄 摩登 乖巧 小巧 高贵 时髦 顺眼 成熟 干练 得体 大方 洋气
难看,难看 扎眼 死板 沉闷 呆板 土气 俗气 单调 老气 丑 恶心
短,短
长,长
差,差 烂 差劲
冷淡,冷漠 冷淡
傲慢,傲慢 骄傲
草率,冲动 草率
高,高
低,低
贵,贵 离谱 高昂 昂贵 不菲 辣手
便宜,便宜 划算 实惠 合理 适中 公道 合算 低 平均 诱人 低廉
宁静,宁静 安静 清静 清净 幽静 宁静 静谧 恬静 沉静 僻静
宽大,宽大 宽松 宽阔
脏,脏
干净,干净 卫生 洁净 整洁
舒适,舒适 温馨 舒适 优雅 优美 幽雅 宜人 清幽
方便,方便 便利 便捷
热,热 炎热 闷热
冷,冷 寒冷
凉快,凉快 凉爽
暖和,暖和 温暖
开心,开心 惊喜 高兴 欣慰 欣喜 愉快 轻松 欢乐 愉悦
朴实,朴实 厚道 憨厚
羞涩,羞涩 腼腆 害羞 内向
罗嗦,罗嗦 聒噪
爽朗,爽朗 直爽 豪爽
失望,失望 郁闷 气愤 伤心 恼火 窝火 心寒
难找,难找 隐蔽 偏僻 难找
远,远 遥远
娴熟,娴熟 熟练 利落 麻利 利索 纯熟
深,深
淡,淡 浅
暗,暗
细,细
粗,粗
软,软
硬,硬
明亮,明亮 亮堂 敞亮 明快 明朗
知名,知名 著名
臭,臭 刺鼻 难闻
慎重,慎重 谨慎
恶劣,恶劣 嚣张 蛮横 无耻 无赖 丑恶 猖狂
烦人,恼人